 ,Angle,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv Normalized,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv Normalized,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv Normalized,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv Normalized,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv Normalized,binary_0_OrientJ Hist.csv,binary_0_OrientJ Hist.csv Normalized,binary_1_OrientJ Hist.csv,binary_1_OrientJ Hist.csv Normalized,binary_2_OrientJ Hist.csv,binary_2_OrientJ Hist.csv Normalized,binary_3_OrientJ Hist.csv,binary_3_OrientJ Hist.csv Normalized,binary_4_OrientJ Hist.csv,binary_4_OrientJ Hist.csv Normalized,binary_5_OrientJ Hist.csv,binary_5_OrientJ Hist.csv Normalized,binary_6_OrientJ Hist.csv,binary_6_OrientJ Hist.csv Normalized,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
1,-90,1342.6430,0.0050,2512.5675,0.0163,2995.5433,0.0157,20323.9708,0.0531,1320.3114,0.0049,63.0037,0.0004,2039.8054,0.0135,1180.2258,0.0031,432.3453,0.0016,2334.5229,0.0089,171.5649,0.0006,281.6312,0.0012,700.1235,0.0028,157.0336,0.0006,6350.9435,0.0204,10828.9041,0.0263,53035.1399,0.1744
2,-89,2272.6880,0.0080,3528.2125,0.0229,2582.2205,0.0136,9327.7950,0.0244,1168.6028,0.0043,48.7954,0.0003,2279.7282,0.0150,1310.3196,0.0034,533.3185,0.0020,7939.4106,0.0302,214.3622,0.0008,422.2206,0.0018,869.8008,0.0035,172.0259,0.0007,6522.3439,0.0209,1545.5166,0.0038,40737.3611,0.1556
3,-88,3647.1660,0.0130,3355.1068,0.0217,2361.5560,0.0124,4874.9620,0.0127,772.0659,0.0029,117.5516,0.0007,1691.2077,0.0112,1286.5305,0.0034,715.0639,0.0027,4990.2295,0.0190,120.7989,0.0004,524.8329,0.0022,2109.9245,0.0085,173.1443,0.0007,3632.2526,0.0117,914.3601,0.0022,31286.7532,0.1254
4,-87,3926.6710,0.0140,2846.4513,0.0184,1820.6570,0.0096,3363.3214,0.0088,668.8606,0.0025,159.5859,0.0010,2241.4030,0.0148,6887.1428,0.0181,709.5051,0.0027,13694.3999,0.0521,41.1121,0.0001,515.9218,0.0022,2305.0041,0.0092,315.3666,0.0013,2429.9969,0.0078,786.3687,0.0019,42711.7682,0.1645
5,-86,3966.2550,0.0140,3784.2511,0.0245,1257.4091,0.0066,2581.0599,0.0067,767.2736,0.0029,106.2091,0.0007,1882.4782,0.0124,2774.7783,0.0073,506.9461,0.0019,2628.6086,0.0100,20.8938,7.359E-5,610.5682,0.0026,1526.2670,0.0061,1393.6774,0.0057,2700.8693,0.0087,978.3131,0.0024,27485.8578,0.1126
6,-85,3429.5940,0.0120,1255.0066,0.0081,1016.1779,0.0053,1826.8116,0.0048,562.0583,0.0021,81.3099,0.0005,1308.6193,0.0086,1415.0862,0.0037,898.6174,0.0034,1622.3564,0.0062,11.4966,4.049E-5,192.2708,0.0008,1576.5278,0.0063,976.0396,0.0040,3301.6188,0.0106,1069.0682,0.0026,20542.6594,0.0790
7,-84,3296.1700,0.0110,834.0869,0.0054,972.9438,0.0051,1596.1639,0.0042,276.2709,0.0010,104.9627,0.0007,1056.7807,0.0070,895.2768,0.0024,3367.2704,0.0128,1213.8207,0.0046,18.0139,6.345E-5,113.3770,0.0005,1524.7307,0.0061,693.1673,0.0028,2115.6176,0.0068,1035.6743,0.0025,19114.3276,0.0730
8,-83,2449.7310,0.0080,747.0007,0.0048,1198.5983,0.0063,1287.2080,0.0034,373.5986,0.0014,145.9675,0.0009,1055.1981,0.0070,611.0317,0.0016,716.9840,0.0027,913.1809,0.0035,51.3728,0.0002,154.9206,0.0006,1400.5145,0.0056,518.6873,0.0021,1574.3097,0.0051,2019.1309,0.0049,15217.4346,0.0581
9,-82,2094.8540,0.0070,667.6548,0.0043,1080.9140,0.0057,1110.7092,0.0029,596.0834,0.0022,58.3111,0.0004,1195.6255,0.0079,448.5046,0.0012,513.1316,0.0020,829.2524,0.0032,112.3849,0.0004,259.4948,0.0011,1570.3691,0.0063,630.5087,0.0026,1514.5385,0.0049,2233.7356,0.0054,14916.0722,0.0575
10,-81,1650.5330,0.0060,566.4170,0.0037,859.0964,0.0045,1013.2242,0.0026,499.3307,0.0019,76.3152,0.0005,592.4583,0.0039,350.4537,0.0009,522.6845,0.0020,857.0883,0.0033,260.4452,0.0009,238.3462,0.0010,2631.6203,0.0105,718.5799,0.0029,1248.9714,0.0040,865.5693,0.0021,12951.1336,0.0507
11,-80,1537.4750,0.0050,447.9717,0.0029,800.0742,0.0042,869.8004,0.0023,245.7993,0.0009,195.0070,0.0012,418.9023,0.0028,278.1028,0.0007,333.5439,0.0013,1238.7886,0.0047,717.2300,0.0025,0,0,3766.6889,0.0151,340.2141,0.0014,1037.1710,0.0033,652.9655,0.0016,12879.7347,0.0499
12,-79,1358.9640,0.0050,445.4515,0.0029,810.7653,0.0043,674.7811,0.0018,347.5938,0.0013,504.2031,0.0032,394.9653,0.0026,233.5715,0.0006,185.7166,0.0007,1209.1495,0.0046,6507.5708,0.0229,42.2812,0.0002,4913.1699,0.0197,98.6856,0.0004,933.4493,0.0030,544.8453,0.0013,19205.1638,0.0745
13,-78,1156.1430,0.0040,569.3961,0.0037,912.7388,0.0048,559.1277,0.0015,458.6509,0.0017,377.2328,0.0024,270.0226,0.0018,214.3643,0.0006,117.1682,0.0004,806.2504,0.0031,2995.2051,0.0105,58.0720,0.0002,2372.2875,0.0095,87.2380,0.0004,930.9698,0.0030,521.9839,0.0013,12406.8511,0.0489
14,-77,1143.5770,0.0040,647.2732,0.0042,1175.6557,0.0062,481.2991,0.0013,556.4391,0.0021,236.3517,0.0015,232.7791,0.0015,224.8031,0.0006,89.4448,0.0003,424.5466,0.0016,239.5156,0.0008,104.2668,0.0004,1209.9373,0.0048,64.4307,0.0003,1118.5802,0.0036,570.6780,0.0014,8519.5780,0.0346
15,-76,865.5680,0.0030,427.8547,0.0028,1329.4496,0.0070,476.6282,0.0012,518.6663,0.0019,147.0809,0.0009,242.6933,0.0016,291.5284,0.0008,59.2916,0.0002,278.1748,0.0011,57.1449,0.0002,259.1589,0.0011,1127.4708,0.0045,0,0,1139.4443,0.0037,695.1761,0.0017,7915.3308,0.0317
16,-75,794.0510,0.0030,328.6606,0.0021,1507.9525,0.0079,447.3837,0.0012,502.6713,0.0019,79.6989,0.0005,302.5587,0.0020,287.0850,0.0008,79.5498,0.0003,243.7316,0.0009,8.4593,2.979E-5,1153.0541,0.0048,1104.5644,0.0044,20.3883,8.306E-5,1448.9165,0.0047,750.3271,0.0018,9059.0528,0.0364
17,-74,782.9040,0.0030,396.8091,0.0026,1491.7134,0.0078,441.5671,0.0012,669.8918,0.0025,20.7830,0.0001,316.9638,0.0021,184.3190,0.0005,385.5427,0.0015,193.1838,0.0007,0,0,1245.3199,0.0052,1869.7048,0.0075,299.3711,0.0012,2882.2928,0.0093,498.7335,0.0012,11679.0998,0.0464
18,-73,841.7860,0.0030,337.1716,0.0022,1350.9005,0.0071,412.9163,0.0011,794.5793,0.0030,0,0,308.3633,0.0020,134.5833,0.0004,619.8830,0.0024,117.7974,0.0004,14.6304,5.153E-5,669.8979,0.0028,7871.7905,0.0315,526.9373,0.0021,2293.3639,0.0074,426.2525,0.0010,16720.8532,0.0665
19,-72,1061.1570,0.0040,336.0641,0.0022,1371.5086,0.0072,394.8141,0.0010,868.2748,0.0032,32.3687,0.0002,319.2029,0.0021,111.9745,0.0003,401.8196,0.0015,72.2819,0.0003,48.8798,0.0002,665.1267,0.0028,6494.5751,0.0260,824.5847,0.0034,2356.9283,0.0076,596.1071,0.0014,15955.6679,0.0634
20,-71,1474.0560,0.0050,319.7510,0.0021,1215.5241,0.0064,395.2820,0.0010,993.4851,0.0037,267.8314,0.0017,375.8182,0.0025,87.2487,0.0002,391.3114,0.0015,77.9859,0.0003,116.0982,0.0004,921.8300,0.0039,2340.8535,0.0094,729.5148,0.0030,1414.5746,0.0045,709.1250,0.0017,11830.2899,0.0473
21,-70,919.5310,0.0030,377.5675,0.0024,1083.8227,0.0057,393.5812,0.0010,1084.1538,0.0040,692.3374,0.0043,461.2238,0.0030,81.3604,0.0002,560.6456,0.0021,343.9606,0.0013,147.4783,0.0005,618.2722,0.0026,1292.8174,0.0052,239.2739,0.0010,988.4628,0.0032,1871.2534,0.0045,11155.7420,0.0440
22,-69,611.7780,0.0020,447.0551,0.0029,1054.4710,0.0055,378.4710,0.0010,1423.5143,0.0053,500.1193,0.0031,548.5903,0.0036,82.4667,0.0002,1094.8737,0.0042,2076.2505,0.0079,152.3927,0.0005,479.4192,0.0020,992.1680,0.0040,145.2160,0.0006,853.9299,0.0027,1037.9130,0.0025,11878.6287,0.0480
23,-68,590.8400,0.0020,495.4900,0.0032,1236.0814,0.0065,376.5480,0.0010,1680.1786,0.0062,398.6034,0.0025,741.3741,0.0049,88.3110,0.0002,1246.3701,0.0047,1371.1340,0.0052,130.7945,0.0005,349.1985,0.0015,742.6357,0.0030,107.1486,0.0004,760.4430,0.0024,487.8580,0.0012,10803.0089,0.0454
24,-67,754.8660,0.0030,386.0980,0.0025,1362.7181,0.0072,390.3363,0.0010,1455.4081,0.0054,276.0691,0.0017,837.5910,0.0055,87.9459,0.0002,1498.5516,0.0057,499.4359,0.0019,149.2003,0.0005,285.8867,0.0012,581.3144,0.0023,122.5536,0.0005,693.8038,0.0022,485.8359,0.0012,9867.6147,0.0420
25,-66,922.9980,0.0030,627.6649,0.0041,1310.1625,0.0069,506.2096,0.0013,1579.7672,0.0059,316.6055,0.0020,714.3044,0.0047,117.2419,0.0003,1175.5540,0.0045,455.1927,0.0017,194.6648,0.0007,281.2581,0.0012,465.7756,0.0019,162.8429,0.0007,681.7070,0.0022,720.7197,0.0017,10232.6688,0.0428
26,-65,943.4410,0.0030,500.7542,0.0032,1253.0419,0.0066,723.5829,0.0019,1865.4972,0.0069,420.8022,0.0026,941.2145,0.0062,138.0732,0.0004,901.2433,0.0034,360.3920,0.0014,249.5058,0.0009,454.3654,0.0019,364.1012,0.0015,533.8222,0.0022,730.7992,0.0023,710.9052,0.0017,11091.5414,0.0461
27,-64,911.5820,0.0030,557.9635,0.0036,1218.0699,0.0064,815.9817,0.0021,966.3711,0.0036,280.1149,0.0018,695.3659,0.0046,171.7870,0.0005,647.1508,0.0025,353.9399,0.0013,309.6053,0.0011,845.1284,0.0035,265.8409,0.0011,1329.9086,0.0054,822.5378,0.0026,706.0729,0.0017,10897.4206,0.0448
28,-63,1175.3110,0.0040,753.0117,0.0049,1115.4106,0.0059,856.7386,0.0022,840.2831,0.0031,76.8260,0.0005,309.4953,0.0020,421.5098,0.0011,557.4362,0.0021,445.7192,0.0017,524.2281,0.0018,819.3765,0.0034,325.1954,0.0013,1060.4398,0.0043,990.9980,0.0032,627.0459,0.0015,10899.0252,0.0430
29,-62,1156.4860,0.0040,761.5916,0.0049,1049.9911,0.0055,790.0087,0.0021,644.9427,0.0024,8.8124,5.527E-5,292.4199,0.0019,751.2943,0.0020,446.2364,0.0017,445.1887,0.0017,822.1845,0.0029,779.2815,0.0033,526.3782,0.0021,624.4140,0.0025,1070.5316,0.0034,570.5645,0.0014,10740.3261,0.0419
30,-61,1115.6380,0.0040,841.0079,0.0054,1062.1635,0.0056,1237.0094,0.0032,483.4330,0.0018,96.9611,0.0006,318.3249,0.0021,647.3072,0.0017,409.6879,0.0016,423.0132,0.0016,1799.4002,0.0063,785.8168,0.0033,327.9945,0.0013,352.5904,0.0014,1235.0903,0.0040,580.1202,0.0014,11715.5585,0.0453
31,-60,936.4060,0.0030,867.4415,0.0056,1142.9050,0.0060,1141.7292,0.0030,379.0355,0.0014,241.7981,0.0015,411.1733,0.0027,643.4429,0.0017,315.9492,0.0012,402.4692,0.0015,2352.6807,0.0083,813.7153,0.0034,205.2683,0.0008,295.7172,0.0012,1750.8956,0.0056,598.3065,0.0015,12498.9335,0.0484
32,-59,870.7610,0.0030,818.9329,0.0053,1279.8538,0.0067,1261.6678,0.0033,369.0605,0.0014,532.0194,0.0033,595.8796,0.0039,745.1280,0.0020,266.6537,0.0010,306.1235,0.0012,3148.0960,0.0111,893.5856,0.0037,186.6886,0.0007,289.3665,0.0012,3978.0275,0.0128,612.8875,0.0015,16154.7319,0.0621
33,-58,1009.9110,0.0040,842.2096,0.0055,1235.9526,0.0065,1269.8040,0.0033,407.6708,0.0015,988.9398,0.0062,909.4161,0.0060,1385.8452,0.0036,233.4924,0.0009,241.5038,0.0009,3979.4776,0.0140,1340.9240,0.0056,172.5023,0.0007,336.0251,0.0014,2641.3649,0.0085,510.9359,0.0012,17505.9751,0.0698
34,-57,1210.4780,0.0040,961.3495,0.0062,1408.0342,0.0074,1114.0574,0.0029,363.1536,0.0014,703.3027,0.0044,600.4716,0.0040,2896.1999,0.0076,235.5602,0.0009,143.6104,0.0005,3925.5664,0.0138,2768.8073,0.0116,184.6661,0.0007,308.7618,0.0013,1573.6694,0.0051,1407.1296,0.0034,19804.8181,0.0752
35,-56,1417.4560,0.0050,987.8368,0.0064,1653.1649,0.0087,973.5688,0.0025,426.5488,0.0016,420.1538,0.0026,425.7194,0.0028,1829.4484,0.0048,527.7945,0.0020,136.9836,0.0005,3325.1868,0.0117,2295.2909,0.0096,265.2060,0.0011,311.4095,0.0013,1377.2950,0.0044,1726.1128,0.0042,18099.1760,0.0692
36,-55,1771.3630,0.0060,1052.6378,0.0068,2014.2090,0.0106,1057.0756,0.0028,547.1550,0.0020,396.2363,0.0025,545.1292,0.0036,1399.6458,0.0037,686.6524,0.0026,186.2584,0.0007,2763.3660,0.0097,1510.9271,0.0063,465.7313,0.0019,343.2744,0.0014,1144.3656,0.0037,1460.7827,0.0035,17344.8096,0.0678
37,-54,1725.2840,0.0060,1258.2937,0.0081,1879.4017,0.0099,1140.9418,0.0030,530.9858,0.0020,507.9523,0.0032,534.0674,0.0035,1547.6118,0.0041,374.7789,0.0014,217.3484,0.0008,1840.5418,0.0065,1403.2913,0.0059,605.0244,0.0024,389.8118,0.0016,928.1388,0.0030,1491.4757,0.0036,16374.9496,0.0650
38,-53,1805.7400,0.0060,1343.0608,0.0087,1722.7442,0.0091,978.5631,0.0026,335.3135,0.0012,368.6378,0.0023,593.2664,0.0039,1674.4780,0.0044,291.1734,0.0011,319.8658,0.0012,1436.1409,0.0051,1652.4259,0.0069,702.3393,0.0028,491.3444,0.0020,907.4584,0.0029,1648.9446,0.0040,16271.4965,0.0642
39,-52,2042.4770,0.0070,1124.3721,0.0073,1915.4522,0.0101,992.5582,0.0026,345.7886,0.0013,337.4004,0.0021,667.5543,0.0044,1895.7709,0.0050,342.0868,0.0013,574.1584,0.0022,1260.8268,0.0044,1415.5927,0.0059,819.5891,0.0033,631.1017,0.0026,1085.9552,0.0035,2019.2573,0.0049,17469.9417,0.0679
40,-51,3381.8280,0.0120,1408.7106,0.0091,2054.0599,0.0108,1317.1310,0.0034,342.4402,0.0013,376.8785,0.0024,831.0338,0.0055,2268.3430,0.0060,357.7957,0.0014,590.8831,0.0022,1247.9854,0.0044,1192.8142,0.0050,971.8331,0.0039,790.8057,0.0032,1114.3121,0.0036,2767.0632,0.0067,21013.9175,0.0809
41,-50,4968.1180,0.0170,1872.1813,0.0121,2523.5543,0.0133,1467.5540,0.0038,352.6281,0.0013,504.0897,0.0032,890.4584,0.0059,2948.6633,0.0077,351.9481,0.0013,511.1733,0.0019,1246.1831,0.0044,973.3086,0.0041,1457.6262,0.0058,775.3334,0.0032,1036.2314,0.0033,3875.4309,0.0094,25754.4821,0.0977
42,-49,3235.3260,0.0110,1368.1354,0.0089,3423.3975,0.0180,3166.5441,0.0083,424.3556,0.0016,985.3501,0.0062,1131.9299,0.0075,4511.8508,0.0119,343.9015,0.0013,534.9091,0.0020,1280.6581,0.0045,1075.2727,0.0045,1521.0471,0.0061,962.6697,0.0039,1054.3518,0.0034,4084.3313,0.0099,29104.0307,0.1090
43,-48,2794.2980,0.0100,1484.2672,0.0096,4273.2125,0.0225,4396.3922,0.0115,328.0717,0.0012,1474.9677,0.0093,1297.7131,0.0086,7026.3542,0.0185,361.0146,0.0014,585.1222,0.0022,1598.2637,0.0056,1602.8458,0.0067,1760.2497,0.0071,1232.9013,0.0050,1013.5621,0.0033,3772.9822,0.0092,35002.2182,0.1317
44,-47,3039.8940,0.0110,2516.6947,0.0163,3337.2623,0.0175,2403.5067,0.0063,403.1416,0.0015,2729.5096,0.0171,1219.8481,0.0080,10490.8391,0.0276,402.9539,0.0015,603.5204,0.0023,2090.3367,0.0074,1484.4977,0.0062,1821.1786,0.0073,1754.6733,0.0071,951.2925,0.0031,5012.3669,0.0122,40261.5161,0.1524
45,-46,3653.7600,0.0130,2946.6036,0.0191,2902.1812,0.0153,2127.3483,0.0056,800.0420,0.0030,3745.2770,0.0235,1032.8116,0.0068,12886.4465,0.0339,519.2249,0.0020,769.3766,0.0029,2940.8577,0.0104,1476.7888,0.0062,2221.8307,0.0089,3358.4089,0.0137,980.4420,0.0031,6276.0437,0.0152,48637.4435,0.1826
46,-45,4152.5970,0.0140,2367.9100,0.0153,2939.5301,0.0155,2359.8595,0.0062,913.8015,0.0034,1711.8021,0.0107,841.6293,0.0056,17097.9289,0.0449,584.2707,0.0022,1215.1420,0.0046,4243.6787,0.0149,1643.8773,0.0069,3290.5256,0.0132,3666.9650,0.0149,1052.7716,0.0034,9673.8357,0.0235,57756.1250,0.1992
47,-44,2241.8220,0.0080,2109.2980,0.0137,2826.5318,0.0149,4660.3253,0.0122,2115.4803,0.0079,1879.4281,0.0118,656.0154,0.0043,8864.2658,0.0233,361.8250,0.0014,890.7075,0.0034,3025.9334,0.0107,2273.6339,0.0095,2119.4650,0.0085,5451.1476,0.0222,935.7488,0.0030,4665.9250,0.0113,45077.5529,0.1661
48,-43,1880.7390,0.0070,1833.5363,0.0119,2796.3206,0.0147,6596.7003,0.0172,1823.9845,0.0068,2117.1625,0.0133,494.9760,0.0033,4259.3098,0.0112,386.5390,0.0015,755.9951,0.0029,2327.0579,0.0082,4362.5402,0.0183,1829.7961,0.0073,6681.8034,0.0272,904.7219,0.0029,2619.7229,0.0064,41670.9055,0.1601
49,-42,1704.4610,0.0060,1408.6661,0.0091,3246.6859,0.0171,3433.1364,0.0090,1506.4899,0.0056,1545.9386,0.0097,382.4954,0.0025,2508.5258,0.0066,329.4873,0.0013,740.8589,0.0028,1823.1956,0.0064,3409.3212,0.0143,1813.6682,0.0073,6872.9899,0.0280,916.0596,0.0029,2225.5718,0.0054,33867.5516,0.1340
50,-41,1439.4180,0.0050,1066.4816,0.0069,2334.5042,0.0123,1955.9164,0.0051,1370.3507,0.0051,1172.2788,0.0074,565.3520,0.0037,1914.3737,0.0050,370.9640,0.0014,624.2672,0.0024,1425.9124,0.0050,3595.0323,0.0151,1592.8149,0.0064,6503.3464,0.0265,904.6155,0.0029,2029.4858,0.0049,28865.1139,0.1151
51,-40,1339.2790,0.0050,791.2117,0.0051,1991.7393,0.0105,1789.6783,0.0047,1376.1681,0.0051,1132.2424,0.0071,394.6127,0.0026,1558.5815,0.0041,409.3748,0.0016,605.3313,0.0023,1367.6514,0.0048,3320.4235,0.0139,1529.6599,0.0061,6071.4582,0.0247,869.9430,0.0028,1951.0649,0.0047,26498.4200,0.1051
52,-39,1594.4590,0.0060,687.2163,0.0045,1752.0967,0.0092,1909.1056,0.0050,1441.2943,0.0054,1365.9967,0.0086,269.2527,0.0018,1502.4108,0.0039,443.7976,0.0017,628.4523,0.0024,1403.9921,0.0049,2890.4574,0.0121,1087.0998,0.0044,4146.5349,0.0169,967.5259,0.0031,1418.9327,0.0034,23508.6248,0.0933
53,-38,1968.5880,0.0070,700.6243,0.0045,1843.7230,0.0097,1680.5853,0.0044,1484.3390,0.0055,2445.5248,0.0153,225.5599,0.0015,1398.4443,0.0037,470.7232,0.0018,591.1606,0.0022,1466.0862,0.0052,1634.1234,0.0068,922.3077,0.0037,4041.8024,0.0165,830.2894,0.0027,910.1750,0.0022,22614.0565,0.0927
54,-37,2713.8860,0.0090,775.7964,0.0050,1065.1800,0.0056,1522.7061,0.0040,932.8810,0.0035,1803.6034,0.0113,230.6055,0.0015,1380.6555,0.0036,505.5005,0.0019,409.2045,0.0016,1650.3932,0.0058,1063.5195,0.0045,811.2943,0.0033,2654.3901,0.0108,798.3617,0.0026,757.3417,0.0018,19075.3194,0.0758
55,-36,2745.1690,0.0100,733.0808,0.0047,709.0270,0.0037,1498.1334,0.0039,792.0022,0.0029,1284.8405,0.0081,161.3613,0.0011,1378.4048,0.0036,649.3956,0.0025,349.9720,0.0013,2042.1573,0.0072,782.0642,0.0033,768.0040,0.0031,1675.9167,0.0068,854.8887,0.0027,876.3132,0.0021,17300.7307,0.0670
56,-35,2776.3590,0.0100,601.6313,0.0039,691.0510,0.0036,1085.3307,0.0028,663.7727,0.0025,1116.2216,0.0070,303.5338,0.0020,1262.4069,0.0033,4759.2208,0.0181,328.2514,0.0012,3006.0371,0.0106,811.6978,0.0034,673.5753,0.0027,943.4953,0.0038,963.8845,0.0031,981.6780,0.0024,20968.1472,0.0804
