 ,Radius,3 4 pclpeo cam kelli 10k67_S1_Radius Histo.csv,3 4 pclpeo cam kelli 10k71_S1_Radius Histo.csv,PCL PEO CAM kont 160818 x10k12_S1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
1,0,0,0,0,0,15.5228,12.6059,1.3781,2.0124
2,1,36,14,11,61,0,0,0,0
3,2,94,183,78,355,0,0,0,0
4,3,434,231,166,831,0,0,0,0
5,4,398,289,231,918,0,0,0,0
6,5,328,345,87,760,0,0,0,0
7,6,304,411,87,802,0,0,0,0
8,7,294,223,47,564,0,0,0,0
9,8,356,204,39,599,0,0,0,0
10,9,335,167,43,545,0,0,0,0
11,10,340,109,37,486,0,0,0,0
12,11,277,225,65,567,0,0,0,0
13,12,279,294,208,781,0,0,0,0
14,13,158,131,220,509,0,0,0,0
15,14,101,53,38,192,0,0,0,0
16,15,120,54,24,198,0,0,0,0
17,16,147,65,42,254,0,0,0,0
18,17,102,67,78,247,0,0,0,0
19,18,91,86,48,225,0,0,0,0
20,19,118,102,34,254,0,0,0,0
21,20,75,85,31,191,0,0,0,0
22,21,166,109,41,316,0,0,0,0
23,22,151,36,36,223,0,0,0,0
24,23,89,31,28,148,0,0,0,0
25,24,77,44,49,170,0,0,0,0
26,25,73,39,77,189,0,0,0,0
27,26,42,26,60,128,0,0,0,0
28,27,30,38,40,108,0,0,0,0
29,28,32,46,38,116,0,0,0,0
30,29,41,34,17,92,0,0,0,0
31,30,40,31,21,92,0,0,0,0
32,31,36,28,70,134,0,0,0,0
33,32,42,23,53,118,0,0,0,0
34,33,54,63,41,158,0,0,0,0
35,34,38,37,103,178,0,0,0,0
36,35,38,52,184,274,0,0,0,0
37,36,30,86,44,160,0,0,0,0
38,37,30,76,33,139,0,0,0,0
39,38,21,70,36,127,0,0,0,0
40,39,22,33,18,73,0,0,0,0
41,40,11,50,45,106,0,0,0,0
42,41,9,53,20,82,0,0,0,0
43,42,36,95,31,162,0,0,0,0
44,43,37,105,28,170,0,0,0,0
45,44,58,29,14,101,0,0,0,0
46,45,45,3,47,95,0,0,0,0
47,46,39,5,60,104,0,0,0,0
48,47,39,11,37,87,0,0,0,0
49,48,14,2,44,60,0,0,0,0
50,49,5,3,40,48,0,0,0,0
51,50,1,8,14,23,0,0,0,0
52,51,3,12,19,34,0,0,0,0
53,52,3,37,18,58,0,0,0,0
54,53,0,29,13,42,0,0,0,0
55,54,2,15,15,32,0,0,0,0
56,55,2,12,9,23,0,0,0,0
57,56,1,14,5,20,0,0,0,0
58,57,1,18,4,23,0,0,0,0
59,58,1,10,3,14,0,0,0,0
60,59,2,11,2,15,0,0,0,0
61,60,0,7,3,10,0,0,0,0
62,61,2,5,0,7,0,0,0,0
63,62,2,3,3,8,0,0,0,0
64,63,2,5,2,9,0,0,0,0
65,64,0,4,1,5,0,0,0,0
66,65,2,3,1,6,0,0,0,0
67,66,1,4,3,8,0,0,0,0
68,67,0,3,3,6,0,0,0,0
69,68,0,0,0,0,0,0,0,0
70,69,0,2,0,2,0,0,0,0
71,70,0,2,0,2,0,0,0,0
72,71,0,2,0,2,0,0,0,0
73,72,0,0,0,0,0,0,0,0
74,73,0,3,0,3,0,0,0,0
75,74,0,2,0,2,0,0,0,0
76,75,0,0,0,0,0,0,0,0
77,76,0,2,0,2,0,0,0,0
78,77,0,2,0,2,0,0,0,0
79,78,0,1,0,1,0,0,0,0
80,79,0,2,0,2,0,0,0,0
81,80,3,0,0,3,0,0,0,0
82,81,7,2,0,9,0,0,0,0
83,82,9,1,0,10,0,0,0,0
84,83,4,2,0,6,0,0,0,0
85,84,2,2,0,4,0,0,0,0
86,85,2,0,0,2,0,0,0,0
87,86,2,2,0,4,0,0,0,0
88,87,2,1,0,3,0,0,0,0
89,88,2,2,0,4,0,0,0,0
90,89,1,1,0,2,0,0,0,0
91,90,2,1,0,3,0,0,0,0
92,91,3,2,0,5,0,0,0,0
93,92,3,1,0,4,0,0,0,0
94,93,3,0,0,3,0,0,0,0
95,94,3,0,0,3,0,0,0,0
96,95,2,0,0,2,0,0,0,0
97,96,0,0,0,0,0,0,0,0
98,97,0,0,0,0,0,0,0,0
99,98,0,0,0,0,0,0,0,0
100,99,0,0,0,0,0,0,0,0
101,100,0,0,0,0,0,0,0,0
102,101,0,0,0,0,0,0,0,0
103,102,0,0,0,0,0,0,0,0
104,103,0,0,0,0,0,0,0,0
105,104,0,0,0,0,0,0,0,0
106,105,0,0,0,0,0,0,0,0
107,106,0,0,0,0,0,0,0,0
108,107,0,0,0,0,0,0,0,0
109,108,0,0,0,0,0,0,0,0
110,109,0,0,0,0,0,0,0,0
111,110,0,0,0,0,0,0,0,0
112,111,0,0,0,0,0,0,0,0
113,112,0,0,0,0,0,0,0,0
114,113,0,0,0,0,0,0,0,0
115,114,0,0,0,0,0,0,0,0
116,115,0,0,0,0,0,0,0,0
117,116,0,0,0,0,0,0,0,0
118,117,0,0,0,0,0,0,0,0
119,118,0,0,0,0,0,0,0,0
120,119,0,0,0,0,0,0,0,0
121,120,0,0,0,0,0,0,0,0
122,121,0,0,0,0,0,0,0,0
123,122,0,0,0,0,0,0,0,0
124,123,0,0,0,0,0,0,0,0
125,124,0,0,0,0,0,0,0,0
126,125,0,0,0,0,0,0,0,0
127,126,0,0,0,0,0,0,0,0
128,127,0,0,0,0,0,0,0,0
129,128,0,0,0,0,0,0,0,0
130,129,0,0,0,0,0,0,0,0
131,130,0,0,0,0,0,0,0,0
132,131,0,0,0,0,0,0,0,0
133,132,0,0,0,0,0,0,0,0
134,133,0,0,0,0,0,0,0,0
135,134,0,0,0,0,0,0,0,0
136,135,0,0,0,0,0,0,0,0
137,136,0,0,0,0,0,0,0,0
138,137,0,0,0,0,0,0,0,0
139,138,0,0,0,0,0,0,0,0
140,139,0,0,0,0,0,0,0,0
141,140,0,0,0,0,0,0,0,0
142,141,0,0,0,0,0,0,0,0
143,142,0,0,0,0,0,0,0,0
144,143,0,0,0,0,0,0,0,0
145,144,0,0,0,0,0,0,0,0
146,145,0,0,0,0,0,0,0,0
147,146,0,0,0,0,0,0,0,0
148,147,0,0,0,0,0,0,0,0
149,148,0,0,0,0,0,0,0,0
150,149,0,0,0,0,0,0,0,0
151,150,0,0,0,0,0,0,0,0
152,151,0,0,0,0,0,0,0,0
153,152,0,0,0,0,0,0,0,0
154,153,0,0,0,0,0,0,0,0
155,154,0,0,0,0,0,0,0,0
156,155,0,0,0,0,0,0,0,0
157,156,0,0,0,0,0,0,0,0
158,157,0,0,0,0,0,0,0,0
159,158,0,0,0,0,0,0,0,0
160,159,0,0,0,0,0,0,0,0
161,160,0,0,0,0,0,0,0,0
162,161,0,0,0,0,0,0,0,0
163,162,0,0,0,0,0,0,0,0
164,163,0,0,0,0,0,0,0,0
165,164,0,0,0,0,0,0,0,0
166,165,0,0,0,0,0,0,0,0
167,166,0,0,0,0,0,0,0,0
168,167,0,0,0,0,0,0,0,0
169,168,0,0,0,0,0,0,0,0
170,169,0,0,0,0,0,0,0,0
171,170,0,0,0,0,0,0,0,0
172,171,0,0,0,0,0,0,0,0
173,172,0,0,0,0,0,0,0,0
174,173,0,0,0,0,0,0,0,0
175,174,0,0,0,0,0,0,0,0
176,175,0,0,0,0,0,0,0,0
177,176,0,0,0,0,0,0,0,0
178,177,0,0,0,0,0,0,0,0
179,178,0,0,0,0,0,0,0,0
180,179,0,0,0,0,0,0,0,0
181,180,0,0,0,0,0,0,0,0
182,181,0,0,0,0,0,0,0,0
183,182,0,0,0,0,0,0,0,0
184,183,0,0,0,0,0,0,0,0
185,184,0,0,0,0,0,0,0,0
186,185,0,0,0,0,0,0,0,0
187,186,0,0,0,0,0,0,0,0
188,187,0,0,0,0,0,0,0,0
189,188,0,0,0,0,0,0,0,0
190,189,0,0,0,0,0,0,0,0
191,190,0,0,0,0,0,0,0,0
192,191,0,0,0,0,0,0,0,0
193,192,0,0,0,0,0,0,0,0
194,193,0,0,0,0,0,0,0,0
195,194,0,0,0,0,0,0,0,0
196,195,0,0,0,0,0,0,0,0
197,196,0,0,0,0,0,0,0,0
198,197,0,0,0,0,0,0,0,0
199,198,0,0,0,0,0,0,0,0
200,199,0,0,0,0,0,0,0,0
201,200,0,0,0,0,0,0,0,0
202,201,0,0,0,0,0,0,0,0
203,202,0,0,0,0,0,0,0,0
204,203,0,0,0,0,0,0,0,0
205,204,0,0,0,0,0,0,0,0
206,205,0,0,0,0,0,0,0,0
207,206,0,0,0,0,0,0,0,0
208,207,0,0,0,0,0,0,0,0
209,208,0,0,0,0,0,0,0,0
210,209,0,0,0,0,0,0,0,0
211,210,0,0,0,0,0,0,0,0
212,211,0,0,0,0,0,0,0,0
213,212,0,0,0,0,0,0,0,0
214,213,0,0,0,0,0,0,0,0
215,214,0,0,0,0,0,0,0,0
216,215,0,0,0,0,0,0,0,0
217,216,0,0,0,0,0,0,0,0
218,217,0,0,0,0,0,0,0,0
219,218,0,0,0,0,0,0,0,0
220,219,0,0,0,0,0,0,0,0
221,220,0,0,0,0,0,0,0,0
222,221,0,0,0,0,0,0,0,0
223,222,0,0,0,0,0,0,0,0
224,223,0,0,0,0,0,0,0,0
225,224,0,0,0,0,0,0,0,0
226,225,0,0,0,0,0,0,0,0
227,226,0,0,0,0,0,0,0,0
228,227,0,0,0,0,0,0,0,0
229,228,0,0,0,0,0,0,0,0
230,229,0,0,0,0,0,0,0,0
231,230,0,0,0,0,0,0,0,0
232,231,0,0,0,0,0,0,0,0
233,232,0,0,0,0,0,0,0,0
234,233,0,0,0,0,0,0,0,0
235,234,0,0,0,0,0,0,0,0
236,235,0,0,0,0,0,0,0,0
237,236,0,0,0,0,0,0,0,0
238,237,0,0,0,0,0,0,0,0
239,238,0,0,0,0,0,0,0,0
240,239,0,0,0,0,0,0,0,0
241,240,0,0,0,0,0,0,0,0
242,241,0,0,0,0,0,0,0,0
243,242,0,0,0,0,0,0,0,0
244,243,0,0,0,0,0,0,0,0
245,244,0,0,0,0,0,0,0,0
246,245,0,0,0,0,0,0,0,0
247,246,0,0,0,0,0,0,0,0
248,247,0,0,0,0,0,0,0,0
249,248,0,0,0,0,0,0,0,0
250,249,0,0,0,0,0,0,0,0
251,250,0,0,0,0,0,0,0,0
252,251,0,0,0,0,0,0,0,0
253,252,0,0,0,0,0,0,0,0
254,253,0,0,0,0,0,0,0,0
255,254,0,0,0,0,0,0,0,0
256,255,0,0,0,0,0,0,0,0
