 ,Radius,Mat1-TUK-3lay-190424_10kx_01_S1_Radius Histo.csv,Mat1-TUK-3lay-190424_10kx_03_S1_Radius Histo.csv,Mat1-TUK-3lay-190424_10kx_05_S1_Radius Histo.csv,test_10k_S1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
1,0,0,0,0,0,0,7.3322,2.9214,0.3905,-0.5991
2,1,10,21,18,35,84,0,0,0,0
3,2,66,69,161,559,855,0,0,0,0
4,3,127,69,340,725,1261,0,0,0,0
5,4,137,95,405,741,1378,0,0,0,0
6,5,97,59,261,335,752,0,0,0,0
7,6,66,54,174,204,498,0,0,0,0
8,7,51,44,137,121,353,0,0,0,0
9,8,52,51,167,126,396,0,0,0,0
10,9,62,52,137,141,392,0,0,0,0
11,10,62,40,83,117,302,0,0,0,0
12,11,47,49,60,128,284,0,0,0,0
13,12,42,36,43,124,245,0,0,0,0
14,13,32,45,50,143,270,0,0,0,0
15,14,25,31,36,118,210,0,0,0,0
16,15,32,26,74,79,211,0,0,0,0
17,16,56,32,40,71,199,0,0,0,0
18,17,43,30,80,69,222,0,0,0,0
19,18,43,25,78,47,193,0,0,0,0
20,19,34,29,80,40,183,0,0,0,0
21,20,47,23,18,43,131,0,0,0,0
22,21,38,26,15,39,118,0,0,0,0
23,22,41,25,18,44,128,0,0,0,0
24,23,29,18,19,43,109,0,0,0,0
25,24,25,19,22,42,108,0,0,0,0
26,25,24,51,52,44,171,0,0,0,0
27,26,15,27,60,46,148,0,0,0,0
28,27,29,24,54,25,132,0,0,0,0
29,28,28,33,25,29,115,0,0,0,0
30,29,16,31,45,30,122,0,0,0,0
31,30,43,36,102,52,233,0,0,0,0
32,31,69,40,87,42,238,0,0,0,0
33,32,81,95,102,49,327,0,0,0,0
34,33,122,123,205,55,505,0,0,0,0
35,34,149,277,180,89,695,0,0,0,0
36,35,148,219,177,95,639,0,0,0,0
37,36,161,195,110,78,544,0,0,0,0
38,37,177,266,96,122,661,0,0,0,0
39,38,158,267,146,297,868,0,0,0,0
40,39,98,110,177,222,607,0,0,0,0
41,40,123,76,43,162,404,0,0,0,0
42,41,60,57,29,50,196,0,0,0,0
43,42,29,63,43,62,197,0,0,0,0
44,43,39,53,46,34,172,0,0,0,0
45,44,29,82,24,25,160,0,0,0,0
46,45,64,94,21,46,225,0,0,0,0
47,46,46,95,8,32,181,0,0,0,0
48,47,44,48,5,33,130,0,0,0,0
49,48,64,33,5,32,134,0,0,0,0
50,49,64,35,2,16,117,0,0,0,0
51,50,55,41,6,20,122,0,0,0,0
52,51,64,21,4,5,94,0,0,0,0
53,52,64,38,6,6,114,0,0,0,0
54,53,39,22,13,11,85,0,0,0,0
55,54,25,47,13,1,86,0,0,0,0
56,55,19,30,9,0,58,0,0,0,0
57,56,23,30,11,0,64,0,0,0,0
58,57,59,22,7,0,88,0,0,0,0
59,58,31,22,6,0,59,0,0,0,0
60,59,25,15,0,0,40,0,0,0,0
61,60,23,4,0,0,27,0,0,0,0
62,61,15,5,0,0,20,0,0,0,0
63,62,12,5,0,0,17,0,0,0,0
64,63,10,8,0,1,19,0,0,0,0
65,64,5,12,0,0,17,0,0,0,0
66,65,5,15,0,0,20,0,0,0,0
67,66,5,21,0,0,26,0,0,0,0
68,67,3,20,0,0,23,0,0,0,0
69,68,9,3,0,0,12,0,0,0,0
70,69,28,4,0,0,32,0,0,0,0
71,70,11,0,0,0,11,0,0,0,0
72,71,13,3,0,0,16,0,0,0,0
73,72,10,1,0,0,11,0,0,0,0
74,73,8,1,0,0,9,0,0,0,0
75,74,6,2,0,0,8,0,0,0,0
76,75,5,0,0,0,5,0,0,0,0
77,76,8,0,0,0,8,0,0,0,0
78,77,7,0,0,0,7,0,0,0,0
79,78,12,0,0,0,12,0,0,0,0
80,79,7,0,0,0,7,0,0,0,0
81,80,7,0,0,0,7,0,0,0,0
82,81,7,0,0,0,7,0,0,0,0
83,82,9,0,0,0,9,0,0,0,0
84,83,9,0,0,0,9,0,0,0,0
85,84,8,0,0,0,8,0,0,0,0
86,85,6,0,0,0,6,0,0,0,0
87,86,4,0,0,0,4,0,0,0,0
88,87,5,0,0,0,5,0,0,0,0
89,88,3,0,0,0,3,0,0,0,0
90,89,3,0,0,0,3,0,0,0,0
91,90,2,0,0,0,2,0,0,0,0
92,91,2,0,0,0,2,0,0,0,0
93,92,2,0,0,0,2,0,0,0,0
94,93,1,0,0,0,1,0,0,0,0
95,94,0,0,0,0,0,0,0,0,0
96,95,0,0,0,0,0,0,0,0,0
97,96,0,0,0,0,0,0,0,0,0
98,97,0,0,0,0,0,0,0,0,0
99,98,0,0,0,0,0,0,0,0,0
100,99,0,0,0,0,0,0,0,0,0
101,100,0,0,0,0,0,0,0,0,0
102,101,0,0,0,0,0,0,0,0,0
103,102,0,0,0,0,0,0,0,0,0
104,103,0,0,0,0,0,0,0,0,0
105,104,0,0,0,0,0,0,0,0,0
106,105,0,0,0,0,0,0,0,0,0
107,106,0,0,0,0,0,0,0,0,0
108,107,0,0,0,0,0,0,0,0,0
109,108,0,0,0,0,0,0,0,0,0
110,109,0,0,0,0,0,0,0,0,0
111,110,0,0,0,0,0,0,0,0,0
112,111,0,0,0,0,0,0,0,0,0
113,112,0,0,0,0,0,0,0,0,0
114,113,0,0,0,0,0,0,0,0,0
115,114,0,0,0,0,0,0,0,0,0
116,115,0,0,0,0,0,0,0,0,0
117,116,0,0,0,0,0,0,0,0,0
118,117,0,0,0,0,0,0,0,0,0
119,118,0,0,0,0,0,0,0,0,0
120,119,0,0,0,0,0,0,0,0,0
121,120,0,0,0,0,0,0,0,0,0
122,121,0,0,0,0,0,0,0,0,0
123,122,0,0,0,0,0,0,0,0,0
124,123,0,0,0,0,0,0,0,0,0
125,124,0,0,0,0,0,0,0,0,0
126,125,0,0,0,0,0,0,0,0,0
127,126,0,0,0,0,0,0,0,0,0
128,127,0,0,0,0,0,0,0,0,0
129,128,0,0,0,0,0,0,0,0,0
130,129,0,0,0,0,0,0,0,0,0
131,130,0,0,0,0,0,0,0,0,0
132,131,0,0,0,0,0,0,0,0,0
133,132,0,0,0,0,0,0,0,0,0
134,133,0,0,0,0,0,0,0,0,0
135,134,0,0,0,0,0,0,0,0,0
136,135,0,0,0,0,0,0,0,0,0
137,136,0,0,0,0,0,0,0,0,0
138,137,0,0,0,0,0,0,0,0,0
139,138,0,0,0,0,0,0,0,0,0
140,139,0,0,0,0,0,0,0,0,0
141,140,0,0,0,0,0,0,0,0,0
142,141,0,0,0,0,0,0,0,0,0
143,142,0,0,0,0,0,0,0,0,0
144,143,0,0,0,0,0,0,0,0,0
145,144,0,0,0,0,0,0,0,0,0
146,145,0,0,0,0,0,0,0,0,0
147,146,0,0,0,0,0,0,0,0,0
148,147,0,0,0,0,0,0,0,0,0
149,148,0,0,0,0,0,0,0,0,0
150,149,0,0,0,0,0,0,0,0,0
151,150,0,0,0,0,0,0,0,0,0
152,151,0,0,0,0,0,0,0,0,0
153,152,0,0,0,0,0,0,0,0,0
154,153,0,0,0,0,0,0,0,0,0
155,154,0,0,0,0,0,0,0,0,0
156,155,0,0,0,0,0,0,0,0,0
157,156,0,0,0,0,0,0,0,0,0
158,157,0,0,0,0,0,0,0,0,0
159,158,0,0,0,0,0,0,0,0,0
160,159,0,0,0,0,0,0,0,0,0
161,160,0,0,0,0,0,0,0,0,0
162,161,0,0,0,0,0,0,0,0,0
163,162,0,0,0,0,0,0,0,0,0
164,163,0,0,0,0,0,0,0,0,0
165,164,0,0,0,0,0,0,0,0,0
166,165,0,0,0,0,0,0,0,0,0
167,166,0,0,0,0,0,0,0,0,0
168,167,0,0,0,0,0,0,0,0,0
169,168,0,0,0,0,0,0,0,0,0
170,169,0,0,0,0,0,0,0,0,0
171,170,0,0,0,0,0,0,0,0,0
172,171,0,0,0,0,0,0,0,0,0
173,172,0,0,0,0,0,0,0,0,0
174,173,0,0,0,0,0,0,0,0,0
175,174,0,0,0,0,0,0,0,0,0
176,175,0,0,0,0,0,0,0,0,0
177,176,0,0,0,0,0,0,0,0,0
178,177,0,0,0,0,0,0,0,0,0
179,178,0,0,0,0,0,0,0,0,0
180,179,0,0,0,0,0,0,0,0,0
181,180,0,0,0,0,0,0,0,0,0
182,181,0,0,0,0,0,0,0,0,0
183,182,0,0,0,0,0,0,0,0,0
184,183,0,0,0,0,0,0,0,0,0
185,184,0,0,0,0,0,0,0,0,0
186,185,0,0,0,0,0,0,0,0,0
187,186,0,0,0,0,0,0,0,0,0
188,187,0,0,0,0,0,0,0,0,0
189,188,0,0,0,0,0,0,0,0,0
190,189,0,0,0,0,0,0,0,0,0
191,190,0,0,0,0,0,0,0,0,0
192,191,0,0,0,0,0,0,0,0,0
193,192,0,0,0,0,0,0,0,0,0
194,193,0,0,0,0,0,0,0,0,0
195,194,0,0,0,0,0,0,0,0,0
196,195,0,0,0,0,0,0,0,0,0
197,196,0,0,0,0,0,0,0,0,0
198,197,0,0,0,0,0,0,0,0,0
199,198,0,0,0,0,0,0,0,0,0
200,199,0,0,0,0,0,0,0,0,0
201,200,0,0,0,0,0,0,0,0,0
202,201,0,0,0,0,0,0,0,0,0
203,202,0,0,0,0,0,0,0,0,0
204,203,0,0,0,0,0,0,0,0,0
205,204,0,0,0,0,0,0,0,0,0
206,205,0,0,0,0,0,0,0,0,0
207,206,0,0,0,0,0,0,0,0,0
208,207,0,0,0,0,0,0,0,0,0
209,208,0,0,0,0,0,0,0,0,0
210,209,0,0,0,0,0,0,0,0,0
211,210,0,0,0,0,0,0,0,0,0
212,211,0,0,0,0,0,0,0,0,0
213,212,0,0,0,0,0,0,0,0,0
214,213,0,0,0,0,0,0,0,0,0
215,214,0,0,0,0,0,0,0,0,0
216,215,0,0,0,0,0,0,0,0,0
217,216,0,0,0,0,0,0,0,0,0
218,217,0,0,0,0,0,0,0,0,0
219,218,0,0,0,0,0,0,0,0,0
220,219,0,0,0,0,0,0,0,0,0
221,220,0,0,0,0,0,0,0,0,0
222,221,0,0,0,0,0,0,0,0,0
223,222,0,0,0,0,0,0,0,0,0
224,223,0,0,0,0,0,0,0,0,0
225,224,0,0,0,0,0,0,0,0,0
226,225,0,0,0,0,0,0,0,0,0
227,226,0,0,0,0,0,0,0,0,0
228,227,0,0,0,0,0,0,0,0,0
229,228,0,0,0,0,0,0,0,0,0
230,229,0,0,0,0,0,0,0,0,0
231,230,0,0,0,0,0,0,0,0,0
232,231,0,0,0,0,0,0,0,0,0
233,232,0,0,0,0,0,0,0,0,0
234,233,0,0,0,0,0,0,0,0,0
235,234,0,0,0,0,0,0,0,0,0
236,235,0,0,0,0,0,0,0,0,0
237,236,0,0,0,0,0,0,0,0,0
238,237,0,0,0,0,0,0,0,0,0
239,238,0,0,0,0,0,0,0,0,0
240,239,0,0,0,0,0,0,0,0,0
241,240,0,0,0,0,0,0,0,0,0
242,241,0,0,0,0,0,0,0,0,0
243,242,0,0,0,0,0,0,0,0,0
244,243,0,0,0,0,0,0,0,0,0
245,244,0,0,0,0,0,0,0,0,0
246,245,0,0,0,0,0,0,0,0,0
247,246,0,0,0,0,0,0,0,0,0
248,247,0,0,0,0,0,0,0,0,0
249,248,0,0,0,0,0,0,0,0,0
250,249,0,0,0,0,0,0,0,0,0
251,250,0,0,0,0,0,0,0,0,0
252,251,0,0,0,0,0,0,0,0,0
253,252,0,0,0,0,0,0,0,0,0
254,253,0,0,0,0,0,0,0,0,0
255,254,0,0,0,0,0,0,0,0,0
256,255,0,0,0,0,0,0,0,0,0
